studentId,courseCode,day,period,roomNumber
7,MADR 3021,T,5,Room 7
7,MADR 3023,M,7,Room 1
7,MADR 3023,T,7,Room 1
7,MADR 3023,TH,7,Room 1
7,MADR 3023,W,7,Room 1
7,MADR 3711,T,1,Room 1
7,MADR 3711,TH,1,Room 1
8,MADR 1001,M,8,Room 2
8,MADR 1001,W,8,Room 2
8,MADR 3012,M,1,Room 7
8,MADR 3012,T,1,Room 7
8,MADR 3012,TH,1,Room 7
8,MADR 3012,W,1,Room 7
8,MADR 3021,T,5,Room 7
8,MADR 4511W,M,7,Room 3
8,MADR 4511W,W,7,Room 3
9,MADR 1002,M,4,Room 3
9,MADR 1002,W,4,Room 3
9,MADR 3006,M,2,Room 7
9,MADR 3006,W,2,Room 7
9,MADR 3021,T,5,Room 7
9,MADR 3711,T,1,Room 1
9,MADR 3711,TH,1,Room 1
10,MADR 3001,T,5,Room 3
10,MADR 3001,TH,5,Room 3
10,MADR 3012,M,1,Room 7
10,MADR 3012,T,1,Room 7
10,MADR 3012,TH,1,Room 7
10,MADR 3012,W,1,Room 7
10,MADR 3025,M,7,Room 7
10,MADR 3025,T,7,Room 7
10,MADR 3025,TH,7,Room 7
10,MADR 3025,W,7,Room 7
10,MADR 3206,M,7,Room 9
10,MADR 3206,T,7,Room 9
10,MADR 3206,TH,7,Room 9
10,MADR 3206,W,7,Room 9
11,MADR 3023,M,7,Room 1
11,MADR 3023,T,7,Room 1
11,MADR 3023,TH,7,Room 1
11,MADR 3023,W,7,Room 1
11,MADR 3027,M,6,Room 2
11,MADR 3027,T,6,Room 2
11,MADR 3027,TH,6,Room 2
11,MADR 3027,W,6,Room 2
11,MADR 3604,M,1,Room 5
11,MADR 3604,W,1,Room 5
11,MADR 4901,T,5,Room 9
11,MADR 4901,TH,5,Room 9
12,MADR 1001,M,8,Room 2
12,MADR 1001,W,8,Room 2
12,MADR 3206,M,7,Room 9
12,MADR 3206,T,7,Room 9
12,MADR 3206,TH,7,Room 9
12,MADR 3206,W,7,Room 9
12,MADR 3301,T,2,Room 1
12,MADR 3301,TH,2,Room 1
12,MADR 4901,T,5,Room 9
12,MADR 4901,TH,5,Room 9
13,MADR 3002,T,5,Room 2
13,MADR 3002,TH,5,Room 2
13,MADR 3025,M,7,Room 7
13,MADR 3025,T,7,Room 7
13,MADR 3025,TH,7,Room 7
13,MADR 3025,W,7,Room 7
13,MADR 3206,M,7,Room 9
13,MADR 3206,T,7,Room 9
13,MADR 3206,TH,7,Room 9
13,MADR 3206,W,7,Room 9
13,MADR 3604,M,1,Room 5
13,MADR 3604,W,1,Room 5
13,MADR 4901,T,5,Room 9
13,MADR 4901,TH,5,Room 9
14,MADR 3006,M,2,Room 7
14,MADR 3006,W,2,Room 7
14,MADR 3017,T,2,Room 2
14,MADR 3017,TH,2,Room 2
14,MADR 3024,M,2,Room 2
14,MADR 3024,W,2,Room 2
14,MADR 3025,M,7,Room 7
14,MADR 3025,T,7,Room 7
14,MADR 3025,TH,7,Room 7
14,MADR 3025,W,7,Room 7
15,MADR 3006,M,2,Room 7
15,MADR 3006,W,2,Room 7
15,MADR 3013,M,7,Room 5
15,MADR 3013,T,7,Room 5
15,MADR 3013,TH,7,Room 5
15,MADR 3013,W,7,Room 5
15,MADR 3017,T,2,Room 2
15,MADR 3017,TH,2,Room 2
15,MADR 3031,M,7,Room 2
15,MADR 3031,T,7,Room 2
15,MADR 3031,TH,7,Room 2
15,MADR 3031,W,7,Room 2
15,MADR 3301,T,2,Room 1
15,MADR 3301,TH,2,Room 1
16,MADR 3008,T,6,Room 3
16,MADR 3008,TH,6,Room 3
16,MADR 3012,M,1,Room 7
16,MADR 3012,T,1,Room 7
16,MADR 3012,TH,1,Room 7
16,MADR 3012,W,1,Room 7
16,MADR 3014,T,2,Room 7
16,MADR 3014,TH,2,Room 7
16,MADR 3019,TH,6,Room 7
17,MADR 1001,M,8,Room 2
17,MADR 1001,W,8,Room 2
17,MADR 3006,M,2,Room 7
17,MADR 3006,W,2,Room 7
17,MADR 3014,T,2,Room 7
17,MADR 3014,TH,2,Room 7
17,MADR 3711,T,1,Room 1
17,MADR 3711,TH,1,Room 1
18,MADR 3002,T,5,Room 2
18,MADR 3002,TH,5,Room 2
18,MADR 3021,T,5,Room 7
18,MADR 3206,M,7,Room 9
